2014-02-28 18:02:49 INFO ihm.Calibration : Properties : 
autofocus_calibration_data=logs/calibration.data
simulation_calibration_data=test/calib_prod1_3_droneId_5.data
paparazzi_script_calibration=paparazzi_calibration/calibrate.py

2014-02-28 18:02:56 INFO filtre.FilterSphere : FilterSphere.add vector before 310.0 -186.0 -2098.0
2014-02-28 18:02:56 INFO filtre.FilterSphere : FilterSphere.add vector after 310.0 -186.0 -2098.0
2014-02-28 18:02:57 INFO filtre.FilterSphere : FilterSphere.add vector before 31.0 -165.0 -1782.0
2014-02-28 18:02:57 INFO filtre.FilterSphere : FilterSphere.add vector after 31.0 -165.0 -1782.0
2014-02-28 18:02:57 INFO filtre.FilterSphere : FilterSphere.add vector before 308.0 -227.0 -1879.0
2014-02-28 18:02:57 INFO filtre.FilterSphere : FilterSphere.add vector after 308.0 -227.0 -1879.0
2014-02-28 18:02:57 INFO filtre.FilterSphere : FilterSphere.add vector before 132.0 -242.0 -1850.0
2014-02-28 18:02:57 INFO filtre.FilterSphere : FilterSphere.add vector after 132.0 -242.0 -1850.0
2014-02-28 18:02:57 INFO filtre.FilterSphere : FilterSphere.add vector before -98.0 -110.0 -1817.0
2014-02-28 18:02:57 INFO filtre.FilterSphere : FilterSphere.add vector after -98.0 -110.0 -1817.0
2014-02-28 18:02:57 INFO filtre.FilterSphere : FilterSphere.add vector before 163.0 -306.0 -1807.0
2014-02-28 18:02:57 INFO filtre.FilterSphere : FilterSphere.add vector after 163.0 -306.0 -1807.0
2014-02-28 18:02:57 INFO filtre.FilterSphere : FilterSphere.add vector before -127.0 -200.0 -1613.0
2014-02-28 18:02:57 INFO filtre.FilterSphere : FilterSphere.add vector after -127.0 -200.0 -1613.0
2014-02-28 18:02:57 INFO filtre.FilterSphere : FilterSphere.add vector before -90.0 -277.0 -2072.0
2014-02-28 18:02:57 INFO filtre.FilterSphere : FilterSphere.add vector after -90.0 -277.0 -2072.0
2014-02-28 18:02:57 INFO filtre.FilterSphere : FilterSphere.add vector before 14.0 -311.0 -1941.0
2014-02-28 18:02:57 INFO filtre.FilterSphere : FilterSphere.add vector after 14.0 -311.0 -1941.0
2014-02-28 18:02:57 INFO filtre.FilterSphere : FilterSphere.add vector before -146.0 -233.0 -1897.0
2014-02-28 18:02:57 INFO filtre.FilterSphere : FilterSphere.add vector after -146.0 -233.0 -1897.0
2014-02-28 18:02:57 INFO filtre.FilterSphere : FilterSphere.add vector before 21.0 -288.0 -1910.0
2014-02-28 18:02:57 INFO filtre.FilterSphere : FilterSphere.add vector after 21.0 -288.0 -1910.0
2014-02-28 18:02:58 INFO filtre.FilterSphere : FilterSphere.add vector before -138.0 -256.0 -1922.0
2014-02-28 18:02:58 INFO filtre.FilterSphere : FilterSphere.add vector after -138.0 -256.0 -1922.0
2014-02-28 18:02:58 INFO filtre.FilterSphere : FilterSphere.add vector before -61.0 -224.0 -1878.0
2014-02-28 18:02:58 INFO filtre.FilterSphere : FilterSphere.add vector after -61.0 -224.0 -1878.0
2014-02-28 18:02:58 INFO filtre.FilterSphere : FilterSphere.add vector before -41.0 -300.0 -2065.0
2014-02-28 18:02:58 INFO filtre.FilterSphere : FilterSphere.add vector after -41.0 -300.0 -2065.0
2014-02-28 18:02:58 INFO filtre.FilterSphere : FilterSphere.add vector before -40.0 -148.0 -1828.0
2014-02-28 18:02:58 INFO filtre.FilterSphere : FilterSphere.add vector after -40.0 -148.0 -1828.0
2014-02-28 18:02:58 INFO filtre.FilterSphere : FilterSphere.add vector before -5.0 -241.0 -2008.0
2014-02-28 18:02:58 INFO filtre.FilterSphere : FilterSphere.add vector after -5.0 -241.0 -2008.0
2014-02-28 18:02:58 INFO filtre.FilterSphere : FilterSphere.add vector before 124.0 -191.0 -1972.0
2014-02-28 18:02:58 INFO filtre.FilterSphere : FilterSphere.add vector after 124.0 -191.0 -1972.0
2014-02-28 18:02:58 INFO filtre.FilterSphere : FilterSphere.add vector before 178.0 -179.0 -2198.0
2014-02-28 18:02:58 INFO filtre.FilterSphere : FilterSphere.add vector after 178.0 -179.0 -2198.0
2014-02-28 18:02:58 INFO filtre.FilterSphere : FilterSphere.add vector before 41.0 -255.0 -2054.0
2014-02-28 18:02:58 INFO filtre.FilterSphere : FilterSphere.add vector after 41.0 -255.0 -2054.0
2014-02-28 18:02:58 INFO filtre.FilterSphere : FilterSphere.add vector before 153.0 -208.0 -2188.0
2014-02-28 18:02:58 INFO filtre.FilterSphere : FilterSphere.add vector after 153.0 -208.0 -2188.0
2014-02-28 18:02:58 INFO filtre.FilterSphere : FilterSphere.add vector before 143.0 -276.0 -2016.0
2014-02-28 18:02:58 INFO filtre.FilterSphere : FilterSphere.add vector after 143.0 -276.0 -2016.0
2014-02-28 18:02:59 INFO filtre.FilterSphere : FilterSphere.add vector before 179.0 -82.0 -2080.0
2014-02-28 18:02:59 INFO filtre.FilterSphere : FilterSphere.add vector after 179.0 -82.0 -2080.0
2014-02-28 18:02:59 INFO filtre.FilterSphere : FilterSphere.add vector before 128.0 -50.0 -2195.0
2014-02-28 18:02:59 INFO filtre.FilterSphere : FilterSphere.add vector after 128.0 -50.0 -2195.0
2014-02-28 18:02:59 INFO filtre.FilterSphere : FilterSphere.add vector before 155.0 -38.0 -2029.0
2014-02-28 18:02:59 INFO filtre.FilterSphere : FilterSphere.add vector after 155.0 -38.0 -2029.0
